Name,Latitude,Longitude
Big Ben & Palace of Westminster,51.5007,-0.1246
Tower of London,51.5081,-0.0759
Tower Bridge,51.5055,-0.0754
London Eye,51.5033,-0.1195
Buckingham Palace,51.5014,-0.1419
British Museum,51.5194,-0.127
St. Paul's Cathedral,51.5138,-0.0984
The Shard,51.5045,-0.0865
Westminster Abbey,51.4993,-0.1273
Trafalgar Square,51.508,-0.1281
Hyde Park,51.5073,-0.1657
Royal Albert Hall,51.501,-0.1774
Natural History Museum,51.4967,-0.1764
Tate Modern,51.5076,-0.0994
Covent Garden,51.5117,-0.124
